Конкурент,Линейка,Город,Дней,Цена за день (руб),Общая цена (руб)
Польза Диет,gentle_1200,Moscow,2,1595,3190
Польза Диет,gentle_1200,Moscow,4,1562,6250
Польза Диет,gentle_1200,Moscow,6,1525,9150
Польза Диет,gentle_1200,Moscow,12,1482,17790
Польза Диет,gentle_1200,Moscow,20,1457,29150
Польза Диет,gentle_1200,Moscow,28,1423,39850
Польза Диет,gentle_1200,Moscow,30,1419,42590
Польза Диет,gentle_1600,Moscow,2,1595,3190
Польза Диет,gentle_1600,Moscow,4,1562,6250
Польза Диет,gentle_1600,Moscow,6,1525,9150
Польза Диет,gentle_1600,Moscow,12,1482,17790
Польза Диет,gentle_1600,Moscow,20,1457,29150
Польза Диет,gentle_1600,Moscow,28,1423,39850
Польза Диет,gentle_1600,Moscow,30,1419,42590
Польза Диет,gentle_2000,Moscow,2,1695,3390
Польза Диет,gentle_2000,Moscow,4,1697,6790
Польза Диет,gentle_2000,Moscow,6,1681,10090
Польза Диет,gentle_2000,Moscow,12,1637,19650
Польза Диет,gentle_2000,Moscow,20,1624,32490
Польза Диет,gentle_2000,Moscow,28,1580,44250
Польза Диет,gentle_2000,Moscow,30,1578,47350
Польза Диет,diabet_1200,Moscow,2,1595,3190
Польза Диет,diabet_1200,Moscow,4,1562,6250
Польза Диет,diabet_1200,Moscow,6,1525,9150
Польза Диет,diabet_1200,Moscow,12,1482,17790
Польза Диет,diabet_1200,Moscow,20,1457,29150
Польза Диет,diabet_1200,Moscow,28,1423,39850
Польза Диет,diabet_1200,Moscow,30,1419,42590
Польза Диет,diabet_1800,Moscow,2,1695,3390
Польза Диет,diabet_1800,Moscow,4,1697,6790
Польза Диет,diabet_1800,Moscow,6,1681,10090
Польза Диет,diabet_1800,Moscow,12,1637,19650
Польза Диет,diabet_1800,Moscow,20,1624,32490
Польза Диет,diabet_1800,Moscow,28,1580,44250
Польза Диет,diabet_1800,Moscow,30,1578,47350
Польза Диет,gentle_lactosefree_1200,Moscow,2,1795,3590
Польза Диет,gentle_lactosefree_1200,Moscow,4,1722,6890
Польза Диет,gentle_lactosefree_1200,Moscow,6,1665,9990
Польза Диет,gentle_lactosefree_1200,Moscow,12,1595,19150
Польза Диет,gentle_lactosefree_1200,Moscow,20,1562,31250
Польза Диет,gentle_lactosefree_1200,Moscow,28,1478,41390
Польза Диет,gentle_lactosefree_1200,Moscow,30,1476,44290
Польза Диет,gentle_fish_1200,Moscow,2,1925,3850
Польза Диет,gentle_fish_1200,Moscow,4,1837,7350
Польза Диет,gentle_fish_1200,Moscow,6,1741,10450
Польза Диет,gentle_fish_1200,Moscow,12,1679,20150
Польза Диет,gentle_fish_1200,Moscow,20,1639,32790
Польза Диет,gentle_fish_1200,Moscow,28,1551,43450
Польза Диет,gentle_fish_1200,Moscow,30,1549,46490
Польза Диет,gentle_meat_1200,Moscow,2,1595,3190
Польза Диет,gentle_meat_1200,Moscow,4,1562,6250
Польза Диет,gentle_meat_1200,Moscow,6,1525,9150
Польза Диет,gentle_meat_1200,Moscow,12,1482,17790
Польза Диет,gentle_meat_1200,Moscow,20,1457,29150
Польза Диет,gentle_meat_1200,Moscow,28,1423,39850
Польза Диет,gentle_meat_1200,Moscow,30,1419,42590
Польза Диет,gentle_lactosefree_1600,Moscow,2,1795,3590
Польза Диет,gentle_lactosefree_1600,Moscow,4,1722,6890
Польза Диет,gentle_lactosefree_1600,Moscow,6,1665,9990
Польза Диет,gentle_lactosefree_1600,Moscow,12,1595,19150
Польза Диет,gentle_lactosefree_1600,Moscow,20,1562,31250
Польза Диет,gentle_lactosefree_1600,Moscow,28,1478,41390
Польза Диет,gentle_lactosefree_1600,Moscow,30,1476,44290
Польза Диет,gentle_fish_1600,Moscow,2,1925,3850
Польза Диет,gentle_fish_1600,Moscow,4,1837,7350
Польза Диет,gentle_fish_1600,Moscow,6,1741,10450
Польза Диет,gentle_fish_1600,Moscow,12,1679,20150
Польза Диет,gentle_fish_1600,Moscow,20,1639,32790
Польза Диет,gentle_fish_1600,Moscow,28,1551,43450
Польза Диет,gentle_fish_1600,Moscow,30,1549,46490
Польза Диет,gentle_meat_1600,Moscow,2,1595,3190
Польза Диет,gentle_meat_1600,Moscow,4,1562,6250
Польза Диет,gentle_meat_1600,Moscow,6,1525,9150
Польза Диет,gentle_meat_1600,Moscow,12,1482,17790
Польза Диет,gentle_meat_1600,Moscow,20,1457,29150
Польза Диет,gentle_meat_1600,Moscow,28,1423,39850
Польза Диет,gentle_meat_1600,Moscow,30,1419,42590
Польза Диет,gentle_lactosefree_2000,Moscow,2,1925,3850
Польза Диет,gentle_lactosefree_2000,Moscow,4,1797,7190
Польза Диет,gentle_lactosefree_2000,Moscow,6,1781,10690
Польза Диет,gentle_lactosefree_2000,Moscow,12,1712,20550
Польза Диет,gentle_lactosefree_2000,Moscow,20,1694,33890
Польза Диет,gentle_lactosefree_2000,Moscow,28,1655,46350
Польза Диет,gentle_lactosefree_2000,Moscow,30,1653,49590
Польза Диет,gentle_fish_2000,Moscow,2,2075,4150
Польза Диет,gentle_fish_2000,Moscow,4,1937,7750
Польза Диет,gentle_fish_2000,Moscow,6,1898,11390
Польза Диет,gentle_fish_2000,Moscow,12,1840,22090
Польза Диет,gentle_fish_2000,Moscow,20,1817,36350
Польза Диет,gentle_fish_2000,Moscow,28,1778,49790
Польза Диет,gentle_fish_2000,Moscow,30,1778,53350
Польза Диет,gentle_meat_2000,Moscow,2,1695,3390
Польза Диет,gentle_meat_2000,Moscow,4,1722,6890
Польза Диет,gentle_meat_2000,Moscow,6,1681,10090
Польза Диет,gentle_meat_2000,Moscow,12,1637,19650
Польза Диет,gentle_meat_2000,Moscow,20,1624,32490
Польза Диет,gentle_meat_2000,Moscow,28,1580,44250
Польза Диет,gentle_meat_2000,Moscow,30,1578,47350
