Конкурент,Линейка,Калорийность,Дней,Цена за день (руб)
VkusVill,БАЛАНС 1100,1100 ккал,6,1225
VkusVill,БАЛАНС 1100,1100 ккал,8,1160
VkusVill,БАЛАНС 1100,1100 ккал,10,1160
VkusVill,БАЛАНС 1100,1100 ккал,14,1160
VkusVill,БАЛАНС 1100,1100 ккал,20,1160
VkusVill,БАЛАНС 1100,1100 ккал,30,1095
VkusVill,БАЛАНС 1500,1500 ккал,6,1320
VkusVill,БАЛАНС 1500,1500 ккал,8,1250
VkusVill,БАЛАНС 1500,1500 ккал,10,1255
VkusVill,БАЛАНС 1500,1500 ккал,14,1250
VkusVill,БАЛАНС 1500,1500 ккал,20,1250
VkusVill,БАЛАНС 1500,1500 ккал,30,1180
VkusVill,БАЛАНС 1800,1800 ккал,6,1377
VkusVill,БАЛАНС 1800,1800 ккал,8,1304
VkusVill,БАЛАНС 1800,1800 ккал,10,1304
VkusVill,БАЛАНС 1800,1800 ккал,14,1304
VkusVill,БАЛАНС 1800,1800 ккал,20,1304
VkusVill,БАЛАНС 1800,1800 ккал,30,1231
VkusVill,БАЛАНС 2000,2000 ккал,6,1415
VkusVill,БАЛАНС 2000,2000 ккал,8,1340
VkusVill,БАЛАНС 2000,2000 ккал,10,1340
VkusVill,БАЛАНС 2000,2000 ккал,14,1340
VkusVill,БАЛАНС 2000,2000 ккал,20,1340
VkusVill,БАЛАНС 2000,2000 ккал,30,1265
